sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
29;46;2024-07-10 13:32:35.305;1720618355305;2024-07-10 13:32:35.306;1720618355306;1;0.9;0.01999998;2024-07-10 13:32:35.306;1720618355306;0;
30;47;2024-07-10 13:32:35.306;1720618355306;2024-07-10 13:32:35.346;1720618355346;40;0.92;0.01999998;2024-07-10 13:32:35.346;1720618355346;0;
31;48;2024-07-10 13:32:35.346;1720618355346;2024-07-10 13:32:35.373;1720618355373;27;0.94;0.02000004;2024-07-10 13:32:35.373;1720618355373;0;
31;49;2024-07-10 13:32:35.373;1720618355373;2024-07-10 13:32:35.375;1720618355375;2;0.96;0.01999998;2024-07-10 13:32:35.375;1720618355375;0;
32;50;2024-07-10 13:32:35.375;1720618355375;2024-07-10 13:32:35.402;1720618355402;27;0.98;0.01999998;2024-07-10 13:32:35.402;1720618355402;0;
32;51;2024-07-10 13:32:35.402;1720618355402;2024-07-10 13:32:35.403;1720618355403;1;1;0.02000004;2024-07-10 13:32:35.403;1720618355403;0;
33;52;2024-07-10 13:32:35.403;1720618355403;2024-07-10 13:32:35.430;1720618355430;27;1.02;0.01999998;2024-07-10 13:32:35.430;1720618355430;0;
34;53;2024-07-10 13:32:35.430;1720618355430;2024-07-10 13:32:35.471;1720618355471;41;1.04;0.01999998;2024-07-10 13:32:35.471;1720618355471;0;
34;54;2024-07-10 13:32:35.471;1720618355471;2024-07-10 13:32:35.472;1720618355472;1;1.06;0.01999998;2024-07-10 13:32:35.472;1720618355472;0;
35;55;2024-07-10 13:32:35.472;1720618355472;2024-07-10 13:32:35.499;1720618355499;27;1.08;0.01999998;2024-07-10 13:32:35.499;1720618355499;0;
35;56;2024-07-10 13:32:35.499;1720618355499;2024-07-10 13:32:35.500;1720618355500;1;1.1;0.0200001;2024-07-10 13:32:35.500;1720618355500;0;
36;57;2024-07-10 13:32:35.500;1720618355500;2024-07-10 13:32:35.527;1720618355527;27;1.12;0.01999998;2024-07-10 13:32:35.527;1720618355527;0;
37;58;2024-07-10 13:32:35.527;1720618355527;2024-07-10 13:32:35.554;1720618355554;27;1.14;0.01999998;2024-07-10 13:32:35.554;1720618355554;0;
37;59;2024-07-10 13:32:35.554;1720618355554;2024-07-10 13:32:35.554;1720618355554;0;1.16;0.01999998;2024-07-10 13:32:35.554;1720618355554;0;
38;60;2024-07-10 13:32:35.554;1720618355554;2024-07-10 13:32:35.582;1720618355582;28;1.18;0.01999998;2024-07-10 13:32:35.582;1720618355582;0;
38;61;2024-07-10 13:32:35.582;1720618355582;2024-07-10 13:32:35.583;1720618355583;1;1.2;0.01999998;2024-07-10 13:32:35.583;1720618355583;0;
39;62;2024-07-10 13:32:35.583;1720618355583;2024-07-10 13:32:35.610;1720618355610;27;1.22;0.0200001;2024-07-10 13:32:35.610;1720618355610;0;
40;63;2024-07-10 13:32:35.610;1720618355610;2024-07-10 13:32:35.638;1720618355638;28;1.24;0.01999998;2024-07-10 13:32:35.638;1720618355638;0;
40;64;2024-07-10 13:32:35.638;1720618355638;2024-07-10 13:32:35.638;1720618355638;0;1.26;0.01999998;2024-07-10 13:32:35.638;1720618355638;0;
41;65;2024-07-10 13:32:35.638;1720618355638;2024-07-10 13:32:35.665;1720618355665;27;1.28;0.01999998;2024-07-10 13:32:35.665;1720618355665;0;
41;66;2024-07-10 13:32:35.665;1720618355665;2024-07-10 13:32:35.666;1720618355666;1;1.3;0.01999998;2024-07-10 13:32:35.666;1720618355666;0;
42;67;2024-07-10 13:32:35.666;1720618355666;2024-07-10 13:32:35.694;1720618355694;28;1.32;0.01999998;2024-07-10 13:32:35.694;1720618355694;0;
43;68;2024-07-10 13:32:35.694;1720618355694;2024-07-10 13:32:35.720;1720618355721;26;1.34;0.01999998;2024-07-10 13:32:35.721;1720618355720;0;
43;69;2024-07-10 13:32:35.721;1720618355721;2024-07-10 13:32:35.721;1720618355721;1;1.36;0.0200001;2024-07-10 13:32:35.721;1720618355721;0;
44;70;2024-07-10 13:32:35.721;1720618355721;2024-07-10 13:32:35.749;1720618355749;28;1.38;0.01999998;2024-07-10 13:32:35.749;1720618355749;0;
